Date,Name,Multiplier,Weekday
2025-01-01,New Year's Day,1.20,Wednesday
2025-01-16,Thursday before Martin Luther King Jr. Day,1.10,Thursday
2025-01-17,Friday before Martin Luther King Jr. Day,1.30,Friday
2025-01-18,Saturday before Martin Luther King Jr. Day,1.30,Saturday
2025-01-19,Sunday before Martin Luther King Jr. Day,1.20,Sunday
2025-01-20,Martin Luther King Jr. Day,1.20,Monday
2025-02-13,Thursday before Presidents' Day,1.10,Thursday
2025-02-14,Valentine's Day,1.30,Friday
2025-02-15,Saturday before Presidents' Day,1.30,Saturday
2025-02-16,Sunday before Presidents' Day,1.20,Sunday
2025-02-17,Presidents' Day,1.20,Monday
2025-03-06,Spring Break,1.15,Thursday
2025-03-07,Spring Break,1.20,Friday
2025-03-08,Spring Break,1.20,Saturday
2025-03-09,Spring Break,1.15,Sunday
2025-03-10,Spring Break,1.30,Monday
2025-03-11,Spring Break,1.30,Tuesday
2025-03-12,Spring Break,1.30,Wednesday
2025-03-13,Spring Break,1.15,Thursday
2025-03-14,Spring Break,1.30,Friday
2025-03-15,Spring Break,1.30,Saturday
2025-03-16,Spring Break,1.20,Sunday
2025-05-22,Thursday before Memorial Day,1.10,Thursday
2025-05-23,Friday before Memorial Day,1.30,Friday
2025-05-24,Saturday before Memorial Day,1.30,Saturday
2025-05-25,Sunday before Memorial Day,1.20,Sunday
2025-05-26,Memorial Day,1.20,Monday
2025-07-03,Day before Independence Day,1.30,Thursday
2025-07-04,Independence Day,1.30,Friday
2025-07-04,Day after Independence Day,1.30,Saturday
2025-08-28,Thursday before Labor Day,1.10,Thursday
2025-08-29,Friday before Labor Day,1.30,Friday
2025-08-30,Saturday before Labor Day,1.30,Saturday
2025-08-31,Sunday before Labor Day,1.20,Sunday
2025-09-01,Labor Day,1.20,Monday
2025-10-03,Oktoberfest Fredericksburg,1.35,Friday
2025-10-04,Oktoberfest Fredericksburg,1.35,Saturday
2025-10-05,Oktoberfest Fredericksburg,1.10,Sunday
2025-11-11,Veterans Day,1.10,Tuesday
2025-11-26,Wednesday before Thanksgiving,1.20,Wednesday
2025-11-27,Thanksgiving Day,1.30,Thursday
2025-11-28,Friday after Thanksgiving Day,1.15,Friday
2025-11-29,Saturday after Thanksgiving Day,1.15,Saturday
2025-12-23,Christmas Period,1.30,Tuesday
2025-12-24,Christmas Period,1.30,Wednesday
2025-12-25,Christmas Day,1.30,Thursday
2025-12-26,Christmas Period,1.15,Friday
2025-12-27,Christmas Period,1.15,Saturday
2025-12-28,Christmas Period,1.15,Sunday
2025-12-29,Christmas Period,1.15,Monday
2025-12-30,Christmas Period,1.35,Tuesday
2025-12-31,Christmas Period,1.75,Wednesday
2026-01-01,New Year's Day,1.35,Thursday
2026-01-02,Christmas Period,1.30,Friday
2026-01-03,Christmas Period,1.30,Saturday
2026-01-04,Christmas Period,1.10,Sunday
2026-01-15,Thursday before Martin Luther King Jr. Day,1.10,Thursday
2026-01-16,Friday before Martin Luther King Jr. Day,1.30,Friday
2026-01-17,Saturday before Martin Luther King Jr. Day,1.30,Saturday
2026-01-18,Sunday before Martin Luther King Jr. Day,1.20,Sunday
2026-01-19,Martin Luther King Jr. Day,1.20,Monday
2026-02-12,Thursday before Presidents' Day,1.10,Thursday
2026-02-13,Friday before Presidents' Day,1.30,Friday
2026-02-14,Valentine's Day,1.40,Saturday
2026-02-15,Sunday before Presidents' Day,1.20,Sunday
2026-02-16,Presidents' Day,1.20,Monday
2026-03-05,Spring Break,1.30,Thursday
2026-03-06,Spring Break,1.30,Friday
2026-03-07,Spring Break,1.30,Saturday
2026-03-08,Spring Break,1.30,Sunday
2026-03-09,Spring Break,1.30,Monday
2026-03-10,Spring Break,1.30,Tuesday
2026-03-11,Spring Break,1.30,Wednesday
2026-03-12,Spring Break,1.30,Thursday
2026-03-13,Spring Break,1.30,Friday
2026-03-14,Spring Break,1.30,Saturday
2026-03-15,Spring Break,1.30,Sunday
2026-05-21,Thursday before Memorial Day,1.10,Thursday
2026-05-22,Friday before Memorial Day,1.30,Friday
2026-05-23,Saturday before Memorial Day,1.30,Saturday
2026-05-24,Sunday before Memorial Day,1.20,Sunday
2026-05-25,Memorial Day,1.20,Monday
2026-07-02,Thursday before Independence Day,1.20,Thursday
2026-07-03,Firday before Independence Day,1.30,Friday
2026-07-04,Independence Day,1.40,Saturday
2026-07-05,Sunday after Independence Day,1.10,Sunday
2026-09-03,Thursday before Labor Day,1.10,Thursday
2026-09-04,Friday before Labor Day,1.30,Friday
2026-09-05,Saturday before Labor Day,1.30,Saturday
2026-09-06,Sunday before Labor Day,1.20,Sunday
2026-09-07,Labor Day,1.20,Monday
2026-10-02,Oktoberfest Fredericksburg,1.35,Friday
2026-10-03,Oktoberfest Fredericksburg,1.35,Saturday
2026-10-04,Oktoberfest Fredericksburg,1.35,Sunday
2026-11-11,Veterans Day,1.20,Wednesday
2026-11-25,Wednesday before Thanksgiving,1.20,Wednesday
2026-11-26,Thanksgiving Day,1.30,Thursday
2026-11-27,Friday after Thanksgiving Day,1.15,Friday
2026-11-28,Saturday after Thanksgiving Day,1.15,Saturday
2026-12-23,Christmas Period,1.30,Wednesday
2026-12-24,Christmas Period,1.40,Thursday
2026-12-25,Christmas Day,1.30,Friday
2026-12-26,Christmas Period,1.30,Saturday
2026-12-27,Christmas Period,1.20,Sunday
2026-12-28,Christmas Period,1.20,Monday
2026-12-29,Christmas Period,1.20,Tuesday
2026-12-30,Christmas Period,1.30,Wednesday
2026-12-31,Christmas Period,1.60,Thursday
2027-01-01,Christmas Period,1.40,Friday
2027-01-02,Christmas Period,1.15,Saturday
2027-01-03,Christmas Period,1.15,Sunday